,id,name,type,summary,difficulty,stars,starVotes,location,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate,popular_vote
0,7021990,Seasonal Wetland Loop,Hike,A scenic loop around one of the wetland areas in Yolo Basin on a wide path with wildlife viewing.,Easy,3.5,2,"Davis, California",3.1,10,-12,17,11,-121.6261,38.5505,Unknown,,1970-01-01 00:00:00,7.0
1,7089186,Nature Loop,Hike,A common loop that explores the park.,Easy/Intermediate,5.0,1,"Carmichael, California",1.6,21,-20,77,69,-121.3127,38.6168,Unknown,,1970-01-01 00:00:00,5.0
2,7023706,Cosumnes Nature Loop,Hike,A nature-watcher's delight that follows trails through the Cosumnes River Preserve.,Easy,4.0,9,"Thornton, California",4.0,88,-84,51,9,-121.4403,38.2657,Unknown,,1970-01-01 00:00:00,36.0
3,7016942,Lake Natoma Loop,Hike,Hike around Lake Natoma on bike paths with an option for singletrack.,Easy/Intermediate,4.2,9,"Folsom, California",12.0,293,-294,194,110,-121.1804,38.6766,Unknown,,1970-01-01 00:00:00,37.800000000000004
4,7027546,Traylor Ranch Bird Sanctuary,Hike,There are lots of birds to see and lots of loop trails to make your own path through the sanctuary.,Easy,2.0,3,"Loomis, California",3.2,65,-65,430,396,-121.2058,38.8485,Unknown,,1970-01-01 00:00:00,6.0
5,7003896,Stebbins Cold Canyon Loop,Hike,A challenging trail with a great view of Lake Berryessa from the top.,Intermediate/Difficult,4.3,29,"Winters, California",5.1,1413,-1409,1539,231,-122.097,38.5119,Unknown,,1970-01-01 00:00:00,124.69999999999999
6,7018582,Hidden Falls Loop,Hike,A loop with waterfalls that are tucked away and only visible once you reach viewing decks.,Intermediate,4.0,9,"North Auburn, California",8.6,811,-812,982,431,-121.1644,38.9589,Unknown,,1970-01-01 00:00:00,36.0
7,7003413,Cronan Ranch Loop,Hike,An enjoyable hike with spectacular views of the Sierra Foothills and South Fork of the American River.,Easy/Intermediate,4.2,18,"Auburn Lake Trails, California",6.2,771,-760,1231,618,-120.9889,38.826,All Clear,Dry,2019-11-24 05:19:55,75.60000000000001
8,7070912,Black Hole of Calcutta Falls,Hike,"An easy, popular, scenic trail that is great for families or older folks.",Easy/Intermediate,4.0,5,"Auburn, California",2.1,121,-122,701,600,-121.04,38.915,All Clear,Dry,2020-01-25 19:34:02,20.0
9,7019896,Training Hill to Pig Farm to Robie Trail Loop,Hike,"After climbing half of Training Hill, this merciful loop returns via Pig Farm Trail.",Intermediate/Difficult,4.0,4,"Auburn, California",2.6,752,-751,1358,612,-121.0399,38.9151,Unknown,,1970-01-01 00:00:00,16.0
10,7089210,Marshall Monument Loop,Hike,A fun and educational loop.,Intermediate,5.0,2,"Placerville, California",3.5,600,-585,1263,746,-120.8928,38.8016,All Clear,Some Mud,2019-12-29 13:43:37,10.0
11,7089771,Foresthill Divide Loop,Hike,"A popular loop with hikers, runners and bikers.",Easy/Intermediate,5.0,1,"Auburn Lake Trails, California",11.2,1087,-1087,1905,1578,-120.9824,38.9427,Unknown,,1970-01-01 00:00:00,5.0
12,7063430,Independence Flat Trail Loop,Hike,Segment of the Mokelumne Coast to Crest Trail features river access and historic remains built during the gold rush.,Intermediate,5.0,1,"Jackson, California",4.3,754,-753,1193,593,-120.7497,38.2973,Unknown,,1970-01-01 00:00:00,5.0
13,7090995,Zim Zim Falls,Hike,A pleasant hike to a waterfall.,Easy/Intermediate,5.0,1,"Middletown, California",7.8,634,-634,1184,717,-122.2836,38.7519,Unknown,,1970-01-01 00:00:00,5.0
14,7037154,Fleming Meadow Trail #8,Hike,Enjoy a beautiful loop in the trees in the Pollock Pines area of the Sierra.,Intermediate,4.1,8,"Pollock Pines, California",7.2,1018,-1024,4107,3589,-120.5452,38.7088,Unknown,,1970-01-01 00:00:00,32.8
15,7041580,Miwok Trail / Hardy Canyon Trail Loop,Hike,A great loop through Round Valley Regional Preserve.,Easy/Intermediate,4.0,3,"Byron, California",4.8,955,-954,1058,228,-121.7503,37.8684,All Clear,Some Mud - Cow abs horse poop is prominent.,2019-12-26 18:45:33,12.0
16,7023190,Stevens Trail,Hike,"This 7.7-mile out-and-back, moderately difficult trail will provide you with historical sights and spectacular views.",Intermediate,4.5,27,"Colfax, California",7.7,1275,-1276,2384,1253,-120.9472,39.1056,Unknown,,1970-01-01 00:00:00,121.5
17,7000155,Vista Loop Trail,Hike,Enjoyable jaunt affording views and a sense of the Sugarloaf Ridge Park area.,Easy/Intermediate,3.7,3,"Kenwood, California",3.6,772,-739,1933,1242,-122.5085,38.4367,Unknown,,1970-01-01 00:00:00,11.100000000000001
18,7000146,Bald Mountain Loop,Hike,Mediocre dirt roads and some singletrack trail lead to the finest views in Sonoma.,Intermediate/Difficult,4.0,9,"Kenwood, California",7.0,1794,-1798,2726,1206,-122.5141,38.438,Unknown,,1970-01-01 00:00:00,36.0
19,7004254,Mount Hood via Goodspeed Trail,Hike,From redwoods to chapparal to grassland to oak forest to HUGE views - this has it all!,Intermediate,4.3,7,"Kenwood, California",6.1,1982,-1982,2580,752,-122.5317,38.4425,Unknown,,1970-01-01 00:00:00,30.099999999999998
